iter	MAE	RMSE
0	1051.743176	1313.217236
1	1002.145074	1253.330074
2	954.9757343	1196.069529
3	912.2554258	1142.045333
4	872.6324051	1092.269293
5	832.7132401	1043.65096
6	794.8088364	997.1187621
7	760.3551468	954.6091909
8	725.4880276	911.2954807
9	693.9472648	871.2722585
10	664.1891054	833.5971647
11	634.5917092	796.3982109
12	607.8918706	762.3434711
13	582.2563729	729.5277916
14	558.6333956	699.3140379
15	537.2718366	671.7775198
16	516.5004513	645.0128243
17	494.96868	618.3627085
18	475.5881881	593.7664488
19	455.3872847	568.6897312
20	437.3214854	545.9125068
21	420.2699826	525.0873839
22	403.9480841	504.6410167
23	388.8689739	486.0847693
24	373.0070236	467.0709124
25	360.1628695	451.4313663
26	345.7421203	433.9492165
27	332.5885364	418.253427
28	319.3678108	402.8485629
29	309.7965301	391.3028266
30	299.0774276	378.9885031
31	288.024927	366.5580731
32	278.3087222	355.1576679
33	269.321558	344.9650201
34	259.1029618	333.7275794
35	250.668026	324.2586177
36	242.4793608	315.3507337
37	234.8299018	307.3227459
38	227.5358706	299.953963
39	220.7432316	292.4561758
40	212.3865514	283.8825583
41	204.5305817	275.7818525
42	198.8669043	270.1384218
43	191.8492192	263.1664535
44	186.3481069	257.4898409
45	180.5875982	251.7574224
46	175.9729002	247.2038907
47	170.6315444	241.8693667
48	165.1745642	236.3497962
49	159.8630962	231.4405638
50	156.5295849	228.4489524
51	152.6985226	224.7510447
52	147.766449	220.1510022
53	143.9602477	216.6930953
54	140.0751199	213.2428027
55	137.1369867	210.6241947
56	132.9599007	206.7574514
57	129.6256705	203.808579
58	127.1392707	201.6484955
59	123.8522577	198.6949451
60	121.2961832	196.525953
61	119.1235177	194.8793349
62	116.4744926	192.4319236
63	114.3313152	190.5412193
64	111.9302573	188.3660553
65	109.7336931	185.9795554
66	108.506554	185.127942
67	106.8767296	183.5409204
68	104.9420379	181.5207267
69	103.4851751	179.8019709
70	102.4397123	179.0597553
71	101.1730282	177.8282622
72	100.1411183	177.1681364
73	98.00005924	174.5942192
74	97.18909086	173.9544707
75	96.28652381	173.2054081
76	95.24391489	172.2472214
77	93.94665183	171.0799566
78	92.90731231	170.2854422
79	91.96535932	169.2451116
80	90.83683495	168.1959655
81	90.41352514	167.9527418
82	89.55523458	166.3955297
83	88.35694315	165.3058919
84	87.74613439	163.8864783
85	86.87035199	162.9160539
86	86.33006491	162.3769802
87	85.88288893	161.933943
88	85.57263791	161.5832835
89	85.03987516	160.3908016
90	84.02266722	159.0777171
91	83.41526261	158.0003034
92	82.72184648	157.2187977
93	82.47633037	156.9606984
94	82.23328177	156.6516175
95	81.95434004	156.2336502
96	81.80154242	156.112141
97	80.74710372	154.0624021
98	79.62328151	152.4592611
99	79.51190245	152.3584083
100	79.38118885	152.2139011
101	78.96018425	151.7562067
102	78.71406474	151.4125556
103	78.37208598	150.9592936
104	77.98176923	150.5001373
105	77.87506604	150.3488086
106	77.42981458	149.9066035
107	77.12222258	149.4756012
108	76.62214464	148.9776123
109	76.42045774	148.7797284
110	76.06123657	148.3443123
