iter	Passed	Remaining
0	58	58796
1	62	31249
2	65	21739
3	68	17162
4	71	14146
5	72	12060
6	74	10588
7	76	9532
8	78	8678
9	80	8006
10	82	7435
11	84	6971
12	86	6539
13	87	6196
14	89	5897
15	91	5638
16	93	5417
17	95	5223
18	97	5035
19	99	4880
20	101	4727
21	102	4561
22	104	4442
23	106	4326
24	108	4233
25	110	4124
26	112	4040
27	113	3953
28	116	3888
29	117	3787
30	118	3719
31	120	3656
32	122	3599
33	124	3542
34	126	3491
35	129	3468
36	130	3407
37	132	3360
38	134	3313
39	136	3270
40	138	3229
41	139	3192
42	142	3160
43	143	3128
44	146	3103
45	148	3071
46	150	3042
47	152	3016
48	154	2991
49	156	2964
50	158	2945
51	160	2919
52	162	2896
53	164	2874
54	166	2852
55	167	2829
56	169	2809
57	171	2788
58	173	2769
59	175	2751
60	177	2733
61	179	2714
62	181	2697
63	183	2677
64	186	2682
65	188	2674
66	191	2660
67	194	2664
68	199	2691
69	204	2711
70	205	2694
71	208	2684
72	210	2666
73	212	2653
74	213	2637
75	215	2624
76	217	2612
77	219	2599
78	222	2589
79	224	2578
80	226	2564
81	227	2552
82	229	2540
83	232	2536
84	234	2522
85	236	2511
86	238	2505
87	240	2492
88	241	2476
89	244	2467
90	246	2462
91	248	2451
92	250	2444
93	252	2433
94	254	2423
95	258	2431
96	261	2433
97	263	2423
98	265	2414
99	267	2406
100	269	2397
101	271	2388
102	273	2377
103	274	2367
104	277	2362
105	279	2353
106	280	2344
107	284	2346
108	285	2337
109	287	2328
110	289	2319
111	292	2315
112	293	2306
113	295	2299
114	298	2293
115	300	2286
116	302	2279
117	303	2272
118	306	2269
119	309	2268
120	311	2262
121	313	2254
122	315	2251
123	316	2239
124	318	2231
125	319	2218
126	322	2215
127	324	2210
128	326	2203
129	328	2196
130	330	2195
131	332	2188
132	334	2182
133	336	2175
134	339	2172
135	340	2165
136	342	2158
137	345	2159
138	347	2152
139	349	2146
140	350	2137
141	353	2138
142	356	2133
143	358	2128
144	359	2119
145	361	2117
146	364	2112
147	365	2102
148	367	2097
149	369	2091
150	371	2086
151	373	2081
152	376	2083
153	379	2087
154	388	2116
155	395	2138
156	397	2132
157	400	2135
158	403	2131
159	408	2144
160	410	2138
161	412	2134
162	415	2135
163	418	2131
164	420	2126
165	423	2126
166	425	2121
167	427	2116
168	429	2111
169	431	2108
170	433	2102
171	435	2097
172	438	2096
173	440	2091
174	442	2086
175	446	2091
176	448	2086
177	450	2081
178	453	2081
179	455	2077
180	457	2069
181	459	2066
182	461	2059
183	462	2051
184	464	2045
185	466	2040
186	468	2038
187	470	2031
188	472	2026
189	473	2018
190	476	2016
191	478	2011
192	480	2008
193	482	2004
194	484	2000
195	486	1996
196	488	1991
197	491	1992
198	493	1987
199	495	1983
200	499	1984
201	501	1981
202	503	1976
203	506	1977
204	508	1973
205	510	1969
206	513	1967
207	515	1963
208	517	1959
209	519	1955
210	522	1953
211	523	1945
212	525	1941
213	527	1937
214	529	1934
215	531	1930
216	534	1926
217	537	1926
218	538	1922
219	541	1918
220	543	1914
221	545	1911
222	547	1907
223	549	1904
224	552	1904
225	555	1900
226	556	1896
227	560	1897
228	562	1892
229	563	1887
230	565	1884
231	568	1880
232	570	1876
233	572	1872
234	575	1872
235	576	1867
236	578	1863
237	581	1862
238	583	1859
239	585	1855
240	587	1851
241	590	1849
242	592	1845
243	594	1842
244	597	1841
245	599	1838
246	602	1836
247	605	1836
248	607	1832
249	609	1829
250	612	1827
251	614	1823
252	616	1819
253	618	1815
254	620	1813
255	622	1809
256	624	1805
257	626	1802
258	629	1802
259	632	1800
260	635	1799
261	637	1795
262	639	1792
263	642	1790
264	644	1787
265	646	1783
266	648	1779
267	651	1778
268	652	1774
269	654	1770
270	657	1769
271	659	1765
272	661	1761
273	663	1758
274	666	1757
275	668	1753
276	670	1750
277	674	1750
278	675	1746
279	677	1743
280	680	1740
281	682	1737
282	684	1733
283	686	1730
284	689	1729
285	691	1726
286	693	1722
287	696	1722
288	698	1719
289	700	1715
290	702	1712
291	705	1709
292	707	1706
293	709	1703
294	711	1700
295	713	1697
296	715	1692
297	716	1687
298	718	1683
299	720	1680
300	721	1676
301	723	1673
302	726	1670
