iter	MAE	RMSE
0	1065.899477	1325.329323
1	1014.408749	1263.639195
2	966.3082936	1205.838091
3	920.5094786	1149.395771
4	881.1505467	1099.422951
5	840.9718627	1050.201648
6	802.9204404	1003.401788
7	767.4789257	959.5898325
8	732.4708118	916.0740035
9	700.8082349	876.0560857
10	669.7020401	836.8241311
11	640.2451174	799.7210106
12	613.1963908	765.6352171
13	587.9630161	733.3391619
14	565.4924687	703.9795809
15	545.1442487	677.6055745
16	523.7171822	650.2883179
17	501.9412487	623.5504465
18	482.0433443	598.6743293
19	461.6374886	573.6391279
20	443.3644915	550.9627884
21	426.8408784	530.5511249
22	410.1185232	509.8914734
23	394.1319213	490.5567353
24	378.4888552	471.8248284
25	366.1625945	456.4095677
26	352.6407106	440.0213797
27	339.2590064	424.3487973
28	328.1773541	411.1366251
29	317.5881155	399.1068665
30	306.4804796	386.4714793
31	295.3872623	374.2366847
32	285.3224583	362.8218778
33	276.6317826	353.0297101
34	266.1689787	341.8150574
35	255.9019582	330.7261538
36	248.3153428	322.7290883
37	241.15542	315.3452918
38	233.0669081	306.2777395
39	225.4301678	298.6600146
40	218.8786185	292.2256006
41	210.6325197	283.4008
42	203.9177621	276.8193661
43	196.9459337	269.4774104
44	190.7679866	263.3852562
45	184.9506889	257.8127658
46	180.0587654	253.6440678
47	175.100412	249.3833423
48	170.157907	244.5592166
49	164.8165095	239.6758286
50	160.7917322	236.1975904
51	157.3407197	233.5353663
52	153.1128087	229.9748761
53	149.6511438	227.1167111
54	146.4323576	224.7038028
55	142.9796464	221.8746132
56	139.8787062	219.547679
57	136.6204924	216.6166775
58	133.0308113	212.8479543
59	129.7758081	210.1548908
60	126.9003491	207.9135672
61	124.7388087	206.21349
62	121.8739514	203.7586934
63	120.0141594	202.4129333
64	118.0465938	201.0186752
65	116.2003035	199.5907355
66	113.57336	196.7253845
67	111.5371407	194.8340141
68	109.342035	192.8629424
69	107.7574536	191.3469919
70	106.3725632	190.1412832
71	103.9691818	186.8081903
72	102.3617986	185.1632526
73	100.9155068	183.7374393
74	99.67643136	182.5312708
75	98.27373953	181.2772052
76	97.24408947	179.1674119
77	95.70338271	177.3003475
78	94.52753572	176.2241237
79	93.98178316	175.8430327
80	92.80959603	174.5959623
81	92.09361057	174.0884378
82	91.26634635	173.2589417
83	90.62604531	172.7580101
84	89.77208354	172.1559751
85	89.20950407	171.5526414
86	88.26838014	170.5646975
87	86.86348741	168.885859
88	86.26978827	168.2891738
89	85.56046386	167.4749497
90	84.96082023	166.7866548
91	84.51441156	166.4230325
92	84.06051261	165.9663368
93	83.16289818	165.0435529
94	82.93184299	164.7162197
95	82.67206104	164.5070231
96	82.05443782	163.7737879
97	81.2279031	161.984955
98	80.83174213	161.4722979
99	80.47707958	161.2241184
100	80.0040434	160.6286443
101	79.46475127	159.9888936
102	79.27308446	159.8351523
103	78.74816075	159.1842679
104	78.40614937	158.7565522
105	78.19528128	158.5409592
106	77.99288027	158.3801237
107	77.69930851	158.1453662
108	76.8067766	157.0221313
109	76.55624276	156.807948
110	75.74253953	155.4127205
111	75.57316649	155.1874923
112	75.39737494	154.8734815
113	75.15436558	154.6100317
114	74.36981005	153.5699921
115	74.31400688	153.5171767
116	74.20639645	153.4531958
117	73.80649054	153.0478932
118	73.51810378	152.8464944
119	73.45760802	152.7835679
120	72.71204232	151.6048979
121	72.47138533	151.3564355
122	71.86594141	150.5541502
123	71.79638987	150.4678968
124	71.73676443	150.4184792
125	71.56771035	150.3129006
126	71.47433648	150.2085959
127	71.11145561	148.2233674
128	71.07467237	148.1755136
129	70.89624966	147.8282411
130	70.79033279	147.7136949
131	70.40158447	147.0963528
132	70.39277509	147.0664487
133	70.09574094	146.7674418
134	69.62524928	145.1870738
135	69.47949902	144.7071396
136	69.43334496	144.6547757
137	69.0976389	144.139992
138	69.00731296	143.6556292
139	68.95062139	143.600598
140	68.86818011	143.5352373
141	68.61751549	143.230001
142	68.55545696	143.1562138
143	68.50130772	143.0896484
144	68.43904104	143.0408518
145	68.31417394	142.9404871
146	68.19909498	142.7727206
147	67.92704961	141.8843227
148	67.90881393	141.8578885
149	67.39346748	141.0215539
150	67.15100614	140.6780804
151	67.12745265	140.651288
152	67.13171757	140.635452
153	67.10137737	140.60379
154	67.10388439	140.5873048
155	67.07111823	140.5064114
156	66.65588322	139.7482467
157	66.47506595	139.0017504
158	66.1369815	138.5797474
159	65.7850934	138.1282404
160	65.76245471	138.0541133
161	65.75347252	138.0137657
162	65.76667692	137.9687876
163	65.75330776	137.9462945
164	65.70774308	137.83723
165	65.40761747	136.1036412
166	65.40414465	136.0853407
167	65.29612167	135.9572457
168	65.21829224	135.8476616
169	65.09811945	135.629969
170	65.08291315	135.5907415
171	64.91384961	135.3555576
172	64.8340159	135.2289291
173	64.76769655	135.1331599
174	64.60345584	134.9515278
175	64.60263757	134.9502457
176	64.50147403	134.5613116
177	64.40488933	134.4065687
178	64.37236319	134.2813935
179	64.25578444	134.0475616
180	64.13571758	133.8612342
181	64.13724174	133.8504636
182	64.02610645	133.6632208
183	64.004433	133.6255524
184	63.98784213	133.5997042
185	63.96743611	133.5341782
186	63.7009015	132.1801052
187	63.60696815	132.0384032
188	63.55346107	131.9357417
189	63.54919467	131.9189139
190	63.54606584	131.9027674
191	63.46361935	131.8447342
192	63.44493239	131.7255412
193	63.44231427	131.7128825
194	63.41767279	131.5750555
195	63.25888813	130.3051639
196	63.23360511	130.2871355
197	63.18824319	130.1909783
198	63.18142186	130.1518069
199	63.17041767	130.1295669
200	63.0071387	129.9811091
201	63.00177155	129.9633212
202	62.97352761	129.9241995
203	62.86152549	128.8647946
204	62.78758755	128.3847296
205	62.66123984	127.2889767
206	62.48434591	126.8119143
207	62.47221172	126.760264
208	62.47501783	126.5501627
209	62.44301629	126.1078544
210	62.43802534	126.0658567
211	62.38972932	125.960652
212	62.38243238	125.9133935
213	62.37745532	125.8824328
214	62.23039014	125.74222
215	62.22502933	125.7329144
216	62.14461621	125.6228506
217	62.12178479	125.6072948
218	62.08619491	125.5139074
219	61.95131352	125.3381632
220	61.81851239	125.1249431
221	61.80924396	125.0925842
222	61.80391288	125.0853297
223	61.73391891	124.5815301
224	61.71608394	124.5511377
225	61.66978484	124.5042371
226	61.66445534	124.4921378
227	61.65585929	124.4790889
228	61.67588852	124.3941989
229	61.65943091	124.3757581
230	61.41208475	123.7823485
231	61.40393932	123.7499378
232	61.4043986	123.5969962
233	61.40129966	123.5934977
234	61.39834787	123.5902169
235	61.37691016	123.5404522
236	61.32135288	123.3704152
237	61.12556738	122.8409036
238	61.0789141	121.9635319
239	61.0673373	121.9272573
240	61.06357282	121.8985551
241	60.9053504	120.9712719
242	60.88368147	120.9518208
243	60.87532064	120.945205
244	60.83504054	120.8368849
245	60.81958162	120.7961124
246	60.65970541	120.6094966
247	60.65106922	120.5552444
248	60.60825315	120.516897
249	60.32545531	120.1205481
250	60.31610137	120.0843671
251	60.30592384	120.0514425
252	60.29508244	120.0455794
253	60.25332965	120.0009531
254	60.20955403	119.7867691
255	60.17733939	119.7423385
256	60.0925651	119.6167182
257	60.08820648	119.6026078
258	60.06326794	119.5817622
259	60.06126577	119.5776909
260	60.05678252	119.5701876
261	60.04982447	119.5412283
262	60.04944488	119.5337859
263	60.04575458	119.5269294
264	60.04944343	119.5166832
265	60.04882721	119.5163575
266	60.04783607	119.5151385
267	60.04443659	119.5000501
268	60.04338817	119.4653044
269	60.03157228	119.4362314
270	59.93404022	119.3344566
271	59.87537821	119.0545704
272	59.83592287	118.6245966
273	59.82449649	118.5895588
274	59.80893301	118.579406
275	59.64560486	117.6160359
276	59.64758353	117.614668
277	59.64688496	117.6134297
278	59.61758926	117.5843795
279	59.59637509	117.519023
280	59.58439792	117.5079898
281	59.50571516	117.4011155
282	59.37605663	116.3209251
283	59.33444964	116.2888469
284	59.32803436	116.2437226
285	59.24520149	116.0232883
286	59.25162536	115.9906305
287	59.09914319	115.4830675
288	59.05336769	115.4311143
289	59.02060961	115.4038603
290	58.97891261	115.3678673
291	58.97939107	115.3660855
292	58.9711651	115.3570867
293	58.94989913	115.3142
294	58.94839771	115.2799889
295	58.90817595	114.9285239
296	58.88669168	114.8658746
297	58.72196772	114.6234053
298	58.71444829	114.5992369
299	58.71479187	114.5978248
300	58.71432728	114.5964889
301	58.70175896	114.5483401
302	58.7021594	114.547858
303	58.66996279	114.3134134
304	58.62293263	114.1726648
305	58.4668487	113.6897787
