iter	Passed	Remaining
0	57	57522
1	62	31222
2	66	22035
3	70	17586
4	74	14756
5	75	12582
6	78	11120
7	82	10191
8	85	9387
9	87	8639
10	90	8156
11	94	7776
12	96	7309
13	98	6931
14	101	6689
15	104	6435
16	106	6162
17	109	5964
18	112	5802
19	115	5682
20	117	5490
21	120	5364
22	124	5279
23	126	5137
24	130	5101
25	134	5027
26	138	5008
27	142	4955
28	144	4837
29	148	4803
30	153	4806
31	155	4714
32	158	4634
33	162	4629
34	165	4576
35	167	4492
36	170	4437
37	174	4412
38	176	4360
39	179	4302
40	182	4261
41	185	4234
42	187	4177
43	191	4170
44	195	4146
45	197	4091
46	199	4038
47	203	4027
48	208	4049
49	212	4040
50	215	4000
51	217	3962
52	219	3918
53	224	3935
54	227	3916
55	229	3874
56	232	3852
57	235	3819
58	237	3793
59	241	3788
60	243	3749
61	245	3715
62	248	3695
63	249	3651
64	251	3615
65	253	3588
66	256	3567
67	258	3538
68	260	3509
69	261	3480
70	264	3460
71	266	3433
72	268	3407
73	270	3384
74	272	3362
75	274	3340
76	276	3317
77	279	3306
78	281	3283
79	282	3253
80	284	3232
81	287	3218
82	289	3196
83	291	3183
84	295	3175
85	296	3154
86	298	3133
87	300	3115
88	303	3104
89	305	3085
90	307	3067
91	308	3044
92	310	3031
93	312	3014
94	314	2997
95	317	2989
96	319	2973
97	321	2958
98	323	2942
99	325	2933
100	327	2918
101	329	2905
102	333	2905
103	335	2891
104	337	2878
105	340	2872
106	342	2856
107	345	2854
108	349	2853
109	351	2840
110	353	2827
111	357	2836
112	359	2823
113	362	2815
114	368	2838
115	372	2842
116	374	2829
117	380	2840
118	383	2835
119	385	2829
120	389	2830
121	392	2827
122	396	2827
123	399	2821
124	404	2834
125	406	2821
126	408	2809
127	412	2813
128	416	2810
129	420	2813
130	425	2824
131	429	2821
132	430	2807
133	435	2816
134	439	2814
135	443	2820
136	448	2823
137	450	2812
138	452	2801
139	454	2794
140	458	2793
141	462	2794
142	466	2796
143	470	2794
144	473	2791
145	477	2792
146	480	2785
147	481	2774
148	483	2763
149	486	2756
150	489	2753
151	492	2745
152	493	2731
153	495	2719
154	496	2706
155	498	2697
156	500	2687
157	502	2680
158	506	2678
159	508	2670
160	510	2660
161	512	2650
162	514	2641
163	516	2632
164	518	2624
165	521	2617
166	522	2605
167	524	2596
168	528	2600
169	530	2591
170	532	2583
171	534	2574
172	536	2566
173	539	2559
174	541	2552
175	543	2545
176	545	2537
177	547	2529
178	549	2520
179	551	2513
180	553	2505
181	555	2496
182	557	2488
183	559	2480
184	561	2472
185	563	2464
186	565	2457
187	567	2449
188	569	2442
189	571	2434
190	572	2426
191	574	2418
192	576	2411
193	578	2403
194	580	2396
195	582	2389
196	584	2381
197	586	2374
198	588	2367
199	590	2360
200	592	2353
201	593	2346
202	596	2340
203	597	2333
204	599	2326
205	601	2320
206	604	2316
207	606	2309
208	608	2303
209	610	2297
210	612	2290
211	614	2284
212	616	2277
213	618	2272
214	620	2265
215	622	2259
216	624	2253
217	626	2248
218	628	2242
219	630	2237
220	633	2233
221	635	2227
222	637	2221
223	639	2215
224	641	2209
225	643	2204
226	646	2199
227	648	2194
228	650	2189
229	652	2182
230	653	2176
231	655	2170
232	657	2164
233	659	2158
234	661	2152
235	663	2147
236	665	2141
237	667	2135
238	669	2130
239	670	2124
240	672	2118
241	674	2112
242	676	2107
243	678	2101
244	680	2096
245	682	2090
246	684	2085
247	686	2080
248	688	2075
249	690	2070
250	692	2065
251	693	2059
252	695	2054
253	697	2049
254	699	2044
255	702	2040
256	704	2036
257	706	2030
258	707	2025
259	710	2021
260	712	2017
261	714	2013
262	716	2008
263	718	2003
264	720	1998
265	721	1992
266	723	1987
267	725	1982
268	727	1977
269	729	1972
270	731	1967
271	733	1963
272	735	1958
273	737	1954
274	740	1950
275	742	1946
276	744	1942
277	746	1938
278	748	1933
279	750	1929
280	752	1924
281	754	1919
282	756	1916
283	758	1911
284	760	1906
285	762	1903
286	764	1898
287	766	1894
288	767	1889
289	770	1886
290	772	1881
291	774	1877
292	775	1872
293	778	1868
294	780	1864
295	781	1859
296	783	1855
297	785	1851
298	787	1847
299	789	1843
300	791	1838
301	793	1834
302	795	1830
303	797	1826
304	800	1824
305	802	1820
306	804	1817
307	808	1815
308	810	1811
309	812	1807
310	814	1803
311	816	1800
312	818	1796
313	820	1792
314	823	1790
315	825	1786
316	827	1782
317	832	1784
318	834	1780
319	836	1776
320	838	1774
321	840	1770
322	843	1767
323	847	1768
324	849	1765
325	851	1760
326	854	1758
327	856	1754
328	857	1749
329	859	1745
330	862	1742
331	863	1738
332	865	1734
333	868	1732
334	870	1728
335	872	1725
336	875	1722
337	877	1718
338	879	1714
339	881	1710
340	884	1708
341	885	1704
342	887	1700
343	889	1696
344	891	1693
345	893	1689
346	895	1685
347	899	1685
348	901	1681
349	903	1677
350	906	1675
351	908	1671
352	910	1668
353	912	1665
354	914	1662
355	916	1658
356	918	1654
357	921	1653
358	923	1649
359	925	1645
360	928	1643
361	930	1639
362	932	1636
363	934	1632
364	936	1629
365	938	1626
366	940	1622
367	942	1618
368	944	1615
369	946	1611
370	948	1607
371	950	1604
372	952	1601
373	954	1597
374	956	1593
375	958	1591
376	960	1587
377	962	1583
378	964	1580
379	967	1578
380	969	1574
381	971	1571
382	974	1569
383	975	1565
384	977	1561
385	979	1558
386	982	1555
387	983	1552
388	985	1547
389	987	1544
390	989	1541
391	992	1539
392	994	1536
393	997	1533
394	999	1530
395	1001	1526
396	1002	1523
397	1005	1520
398	1007	1517
399	1008	1513
400	1012	1511
401	1014	1508
402	1015	1505
403	1018	1502
404	1020	1499
405	1022	1496
406	1024	1492
407	1027	1490
408	1029	1487
409	1030	1483
410	1033	1480
411	1035	1477
412	1037	1474
413	1039	1471
414	1042	1469
415	1044	1465
416	1045	1462
417	1047	1459
418	1050	1456
419	1052	1452
420	1053	1449
421	1056	1446
422	1058	1443
423	1060	1440
424	1062	1437
425	1064	1434
426	1066	1431
427	1068	1427
428	1070	1425
429	1072	1421
430	1074	1419
431	1076	1415
432	1079	1413
433	1080	1409
434	1082	1406
435	1084	1403
436	1086	1400
437	1089	1397
438	1091	1394
439	1094	1392
440	1095	1389
441	1097	1386
442	1099	1382
443	1101	1379
444	1103	1376
445	1105	1372
446	1107	1369
447	1108	1365
448	1110	1362
449	1112	1359
450	1114	1356
451	1115	1352
452	1117	1349
453	1119	1346
454	1121	1343
455	1123	1340
456	1125	1337
457	1127	1334
458	1137	1341
459	1141	1340
460	1143	1337
461	1145	1334
462	1147	1330
463	1149	1327
464	1151	1324
465	1153	1322
466	1155	1319
467	1157	1316
468	1159	1313
469	1161	1310
470	1163	1307
471	1165	1304
472	1167	1300
473	1168	1297
474	1170	1293
475	1172	1290
476	1174	1287
477	1176	1285
478	1178	1282
479	1181	1279
480	1183	1276
481	1185	1273
482	1187	1270
483	1189	1268
484	1191	1265
485	1193	1262
486	1195	1259
487	1197	1256
488	1199	1253
489	1201	1250
490	1203	1247
491	1205	1244
492	1207	1241
493	1209	1238
494	1211	1235
495	1213	1232
496	1215	1229
497	1217	1226
498	1219	1224
499	1221	1221
500	1223	1218
501	1225	1215
502	1227	1212
503	1229	1209
504	1231	1206
505	1233	1203
506	1235	1201
507	1237	1198
508	1239	1196
509	1243	1194
510	1244	1191
511	1246	1188
512	1248	1185
513	1250	1182
514	1252	1179
515	1254	1176
516	1256	1173
517	1258	1171
518	1260	1168
519	1262	1165
520	1264	1162
521	1266	1159
522	1268	1157
523	1270	1154
524	1273	1151
525	1275	1149
526	1277	1146
527	1280	1144
528	1282	1141
529	1284	1138
530	1287	1136
531	1288	1133
532	1292	1132
533	1295	1130
534	1297	1127
535	1299	1124
536	1303	1123
537	1305	1121
538	1307	1118
539	1310	1115
540	1312	1113
541	1313	1110
542	1317	1108
543	1318	1105
544	1320	1102
545	1322	1099
546	1324	1097
547	1326	1094
548	1328	1091
549	1332	1089
550	1334	1087
551	1335	1084
552	1338	1082
553	1340	1079
554	1342	1076
555	1344	1073
556	1347	1071
557	1349	1068
558	1351	1065
559	1354	1064
560	1356	1061
561	1358	1058
562	1361	1056
563	1363	1054
564	1365	1051
565	1367	1048
566	1369	1045
567	1371	1043
568	1373	1040
569	1376	1038
570	1377	1035
571	1379	1032
572	1381	1029
573	1384	1027
574	1386	1024
575	1388	1022
576	1391	1019
577	1393	1017
578	1395	1014
579	1397	1011
580	1398	1008
581	1400	1006
582	1402	1003
583	1404	1000
584	1406	998
585	1408	995
586	1410	992
587	1412	989
588	1414	987
589	1416	984
590	1418	981
591	1420	979
592	1422	976
593	1424	973
594	1427	971
595	1428	968
596	1430	965
597	1432	963
598	1435	961
599	1437	958
600	1439	955
601	1442	953
602	1444	950
603	1446	948
604	1448	945
605	1450	942
606	1452	940
607	1454	937
608	1456	935
609	1459	932
610	1460	929
611	1462	927
612	1464	924
613	1466	921
614	1468	919
615	1470	916
616	1472	913
617	1474	911
618	1476	908
619	1477	905
620	1480	903
621	1481	900
622	1483	897
623	1485	895
624	1487	892
625	1489	889
626	1491	887
627	1493	884
628	1494	881
629	1496	878
630	1498	876
631	1501	874
632	1503	871
633	1505	868
634	1507	866
635	1509	863
636	1511	861
637	1513	858
638	1515	856
639	1517	853
640	1519	850
641	1521	848
642	1524	846
643	1526	843
644	1528	841
645	1530	838
646	1532	836
647	1535	834
648	1537	831
649	1539	829
650	1541	826
651	1543	823
652	1546	821
653	1548	819
654	1550	816
655	1553	814
656	1555	812
657	1557	809
658	1559	807
659	1561	804
660	1563	802
661	1565	799
662	1568	797
663	1570	794
664	1572	792
665	1574	789
666	1576	786
667	1578	784
668	1580	781
669	1583	779
670	1585	777
671	1586	774
672	1588	771
673	1591	769
674	1592	766
675	1594	764
676	1596	761
677	1598	759
678	1600	756
679	1602	753
680	1604	751
681	1606	749
682	1608	746
683	1610	744
684	1613	741
685	1614	739
686	1616	736
687	1617	733
688	1620	731
689	1622	728
690	1623	726
691	1626	724
692	1628	721
693	1630	718
694	1632	716
695	1635	714
696	1636	711
697	1639	709
698	1642	707
699	1643	704
700	1645	701
701	1647	699
702	1650	697
703	1652	694
704	1654	692
705	1657	690
706	1658	687
707	1660	684
708	1661	682
709	1663	679
710	1665	676
711	1667	674
712	1669	671
713	1672	669
714	1674	667
715	1676	664
716	1678	662
717	1680	659
718	1682	657
719	1684	654
720	1687	652
721	1689	650
722	1690	647
723	1691	644
724	1694	642
725	1696	640
726	1698	637
727	1700	635
728	1702	632
729	1704	630
730	1706	627
731	1709	625
732	1711	623
733	1713	620
734	1715	618
735	1717	616
736	1719	613
737	1721	611
738	1724	608
739	1726	606
740	1728	604
741	1731	602
742	1733	599
743	1735	597
744	1737	594
745	1739	592
746	1741	589
747	1743	587
748	1747	585
749	1749	583
750	1751	580
751	1753	578
752	1757	576
753	1761	574
754	1764	572
755	1765	569
756	1768	567
757	1770	565
758	1772	562
759	1774	560
760	1776	557
761	1778	555
